galaxy_id,morph_type,Q,incl_deg,dist_Mpc,R_disc_kpc,R_last_kpc,R_out_kpc,N_outer,mean_Sigma_bar_outer,stratum,epsilon_umm,epsilon_baryon,epsilon_nfw,A_global,Upsilon_star,gas_source,notes
F583-4,Sc,1,55.0,53.3,1.93,7.29,5.169,4,2.31608694680813,low,0.08233123082296631,0.5398027801699231,0.029380858820039754,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.981e+10;coverage=3.78
IC4202,Sbc,1,90.0,100.4,4.78,25.9,18.360999999999997,8,11.1345671202954,high,0.07925914023875985,0.3527240059756448,0.019793589904378697,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.239e+12;coverage=5.42
NGC0024,Sc,1,64.0,7.3,1.34,11.27,7.951999999999998,3,2.1000757625380153,low,0.22083678014936747,0.6473301073783841,0.005205394563933465,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=3.162e+11;coverage=8.41
NGC0100,Scd,1,89.0,13.5,1.66,9.62,6.802999999999999,7,2.3052072102933914,low,0.0849140951597529,0.5873154350900524,0.0197364919928463,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.122e+11;coverage=5.80
NGC0801,Sc,1,80.0,80.7,8.72,59.82,42.225,3,3.208914123832207,intermediate,0.08684077904680276,0.370999060887919,0.017263230690914667,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.000e+12;coverage=6.86
NGC0891,Sb,1,90.0,9.91,2.55,17.11,12.252999999999998,6,9.029381047147723,high,0.060314902705668395,0.25536801899587513,0.0056297709418409595,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.000e+12;coverage=6.71
NGC1003,Scd,1,67.0,11.4,1.61,30.24,21.543,11,1.2025986900082428,low,0.05187416436636436,0.6592554425689635,0.014858950226093438,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=2.239e+11;coverage=18.78
NGC1090,Sbc,1,64.0,37.0,3.53,30.09,21.168,8,3.6997497195919675,intermediate,0.03055365003996055,0.4128075927205935,0.005383438574486874,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=5.012e+11;coverage=8.52
NGC2403,Scd,1,63.0,3.16,1.39,20.87,14.657,13,3.7754541905809345,intermediate,0.055468387987769104,0.590141059304978,0.007035462305395044,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=4.467e+11;coverage=15.01
NGC2841,Sb,1,76.0,14.1,3.64,63.64,45.58,9,2.7946019868595,intermediate,0.2264116623361337,0.6093930237684495,0.010134939864631242,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=4.914e+12;coverage=17.48
NGC2903,Sbc,1,66.0,6.6,2.33,24.96,17.567999999999998,8,1.750284329821082,low,0.20155055060346969,0.4674434402273828,0.014281266299524765,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.000e+12;coverage=10.71
NGC2998,Sc,1,58.0,68.1,6.2,42.28,29.694999999999997,3,4.843990648161127,high,0.01839712779508389,0.4347422154058904,0.016867752495589545,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=1.133e+12;coverage=6.82
NGC3109,Sm,1,70.0,1.33,1.56,6.45,4.593,8,2.499443357249182,low,0.026223330991488405,0.6724380313282027,0.02163147967949184,1.4125375446228536e-11,0.5,SPARC_HI,M200_NFW=5.012e+10;coverage=4.13
